"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"re2_stable","janestreet/re2_stable","https://github.com/janestreet/re2_stable","Re2_stable adds an incomplete but stable serialization of Re2","OCaml","3","1","0","2020/02/28 09:41:47","2021/12/17 03:01:15","2021/02/12 19:25:22","False","master"
"ppx_string","janestreet/ppx_string","https://github.com/janestreet/ppx_string","ppx extension for string interpolation","OCaml","32","6","0","2020/03/17 10:30:05","2026/01/14 01:07:30","2026/01/15 21:40:00","False","master"
"expect_test_helpers_core","janestreet/expect_test_helpers_core","https://github.com/janestreet/expect_test_helpers_core","Helpers for writing expectation tests","OCaml","5","2","0","2020/04/21 08:35:17","2026/01/14 01:07:20","2026/01/15 21:35:21","False","master"
"expect_test_helpers_async","janestreet/expect_test_helpers_async","https://github.com/janestreet/expect_test_helpers_async","Async helpers for writing expectation tests","OCaml","5","1","0","2020/04/21 08:35:21","2026/01/14 01:07:20","2026/01/15 21:35:19","False","master"
"ppx_disable_unused_warnings","janestreet/ppx_disable_unused_warnings","https://github.com/janestreet/ppx_disable_unused_warnings","Expands [@disable_unused_warnings] into [@warning ""-20-26-32-33-34-35-36-37-38-39-60-66-67""]","OCaml","7","1","0","2020/06/05 08:44:07","2026/01/14 01:07:27","2026/01/15 21:38:50","False","master"
"sexp_string_quickcheck","janestreet/sexp_string_quickcheck","https://github.com/janestreet/sexp_string_quickcheck","Quickcheck helpers for strings parsing to sexps","OCaml","4","2","0","2020/06/29 08:18:03","2026/01/14 01:07:33","2026/01/15 21:41:01","False","master"
"universe","janestreet/universe","https://github.com/janestreet/universe","Jane Street universe","OCaml","17","3","1","2020/07/14 11:29:40","2024/11/05 00:43:49","2020/09/14 14:30:51","False","master"
"hardcaml_verify","janestreet/hardcaml_verify","https://github.com/janestreet/hardcaml_verify","Hardcaml Verification Tools","OCaml","15","2","0","2020/08/11 12:33:13","2026/02/22 01:19:24","2026/01/15 21:36:02","False","master"
"hardcaml_step_testbench","janestreet/hardcaml_step_testbench","https://github.com/janestreet/hardcaml_step_testbench","Hardcaml Testbench Monad","OCaml","8","1","0","2020/08/18 11:56:04","2026/02/10 00:34:21","2026/01/15 21:35:57","False","master"
"hardcaml_c","janestreet/hardcaml_c","https://github.com/janestreet/hardcaml_c","Hardcaml C Simulation Backend","OCaml","10","1","0","2020/08/18 11:56:12","2026/01/14 01:07:22","2026/01/15 21:35:42","False","master"
"hardcaml_xilinx","janestreet/hardcaml_xilinx","https://github.com/janestreet/hardcaml_xilinx","Hardcaml wrappers for Xilinx memory primitives","OCaml","8","3","0","2020/08/18 11:56:19","2026/01/14 01:07:22","2026/01/15 21:36:07","False","master"
"hardcaml_circuits","janestreet/hardcaml_circuits","https://github.com/janestreet/hardcaml_circuits","Hardcaml Circuits","OCaml","22","3","0","2020/08/18 11:56:27","2026/01/21 01:51:55","2026/01/15 21:35:44","False","master"
"hardcaml_of_verilog","janestreet/hardcaml_of_verilog","https://github.com/janestreet/hardcaml_of_verilog","Convert Verilog to a Hardcaml design","OCaml","19","3","0","2020/08/18 11:56:34","2026/01/16 12:21:55","2026/01/15 21:35:55","False","master"
"hardcaml_verilator","janestreet/hardcaml_verilator","https://github.com/janestreet/hardcaml_verilator","Hardcaml Verilator Simulation Backend","OCaml","10","2","1","2020/08/18 11:56:45","2026/01/26 11:53:18","2026/01/15 21:36:04","False","master"
